cer_source_type,accreditation_code,station_name,state,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,comment,use_for_geocoding
historical_accredited,WD00WA02,Albany,WA,6330,21.6,Wind,2001-04-01,,,Unsuspended,0.0,,True
historical_accredited,HY00QL02,Barron Gorge,QLD,4881,66.0,Hydro,2001-04-01,,,Unsuspended,202914.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HY00TA07,Bastyan,TAS,7321,79.9,Hydro,2001-04-01,,,Unsuspended,338533.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBMNS02,Bayswater Power Station,NSW,2333,2640.0,Biomass,2001-04-01,,,Unsuspended,0.0,The capacity for this power station is not counted towards accredited capacity in the RET.,True
historical_accredited,BEBGAC01,Belconnen LFG Power Plant,ACT,2616,1.0,Biomass,2001-04-01,,,Suspended,0.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBGNS02,Belrose LFG Power Plant,NSW,2085,1.0,Biomass,2001-04-01,,,Suspended,21739.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBGVC02,Berwick LFG Power Plant,VIC,3804,5.18,Biomass,2001-04-01,,,Suspended,20446.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,WD00NS02,Blayney Wind Farm,NSW,2799,9.9,Wind,2001-04-01,,,Unsuspended,0.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HY00NS08,Blowering,NSW,2720,80.0,Hydro,2001-04-01,,,Unsuspended,267080.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBGVC01,Broadmeadows LFG Power Plant,VIC,3047,5.905,Biomass,2001-04-01,,,Suspended,24601.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HYMINS02,Brown Mountain Power Station,NSW,2550,4.95,Hydro,2001-04-01,,,Unsuspended,10636.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBGQL01,Browns Plains LFG Power Plant,QLD,4118,2.18,Biomass,2001-04-01,,,Unsuspended,0.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HYMINS03,Burrinjuck Power Station,NSW,2582,34.0,Hydro,2001-04-01,,,Unsuspended,28618.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HY00TA08,Butlers Gorge,TAS,7030,14.4,Hydro,2001-04-01,,,Unsuspended,59015.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,SRPVQL04,Caboolture Region Environment Education Centre,QLD,4505,0.0049,Solar,2001-04-01,,,Suspended,0.0,,True
historical_accredited,HYMIVC01,Cairn Curran,VIC,3463,2.0,Hydro,2001-04-01,,,Unsuspended,3342.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HY00TA09,Catagunya,TAS,7140,48.0,Hydro,2001-04-01,,,Unsuspended,218794.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HY00TA10,Cethana,TAS,7306,85.0,Hydro,2001-04-01,,,Unsuspended,389482.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBGVC04,Clayton LFG Power Plant,VIC,3172,12.15,Biomass,2001-04-01,,,Unsuspended,79777.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,BEBGQL03,Cleveland Bay,QLD,4811,0.125,Biomass,2001-04-01,,,Suspended,0.0,,True
historical_accredited,HY00VC04,Clover,VIC,3000,24.0,Hydro,2001-04-01,,,Unsuspended,63334.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
historical_accredited,HY00TA11,Cluny,TAS,7140,22.0,Hydro,2001-04-01,,,Unsuspended,83851.0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,True
