reporting_year,reporting_entity,facility_name,row_type,state,grid_connected,grid,primary_fuel,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,jv_double_counted,important_notes
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,On,NEM,Wind,567719.0,157700.0,19.0,293.0,312,0.0,False,N/A
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,On,NEM,Solar,213115.0,59199.0,0.0,15.0,15,0.0,False,N/A
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,On,NEM,Wind,2461803.0,683834.0,77.0,1144.0,1221,0.0,False,N/A
2014-15,ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,N/A,N/A,N/A,N/A,3242637.0,900733.0,96.0,1452.0,1548,,False,N/A
2014-15,AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,On,NEM,Hydro,137094.0,38082.0,5.0,17.0,22,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,On,NEM,Black Coal,50275548.0,13965430.0,12253123.0,8306.0,12261429,0.88,False,N/A
2014-15,AGL ENERGY LIMITED,Bogong Power Station,F,VIC,On,NEM,Hydro,266917.0,74144.0,83.0,839.0,922,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,On,NEM,Hydro,27428.0,7619.0,1.0,97.0,98,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Clover Hydro,F,VIC,On,NEM,Hydro,151368.0,42047.0,3.0,51.0,54,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,On,NEM,Gas,91666.0,25463.0,19260.0,86.0,19346,0.76,False,N/A
2014-15,AGL ENERGY LIMITED,Copeton Hydro,F,NSW,On,NEM,Hydro,139785.0,38829.0,1.0,75.0,76,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,On,NEM,Hydro,1608089.0,446691.0,0.0,727.0,727,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Eildon Hydro,F,VIC,On,NEM,Hydro,710341.0,197317.0,20.0,153.0,173,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,On,NEM,Hydro,42254.0,11737.0,0.0,16.0,16,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,On,NEM,Landfill Gas,43117.0,11977.0,745.0,1.0,746,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,On,NEM,Wind,1136668.0,315741.0,135.0,217.0,352,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,On,NEM,Wind,858516.0,238477.0,85.0,187.0,272,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,On,NEM,Wind,1543714.0,428809.0,133.0,360.0,493,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,On,NEM,Wind,489049.0,135847.0,75.0,175.0,250,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,On,NEM,Landfill Gas,27374.0,7604.0,427.0,0.0,427,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,On,NEM,Gas,901.0,250.0,355.0,869.0,1224,1.42,False,N/A
2014-15,AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,On,NEM,Landfill Gas,14613.0,4059.0,238.0,5.0,243,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Liddell Power Station,F,NSW,On,NEM,Black Coal,24864251.0,6906736.0,6514993.0,46355.0,6561348,0.94,False,N/A
2014-15,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,On,NEM,Brown Coal,58415084.0,16226412.0,18508708.0,268516.0,18777224,1.14,False,N/A
2014-15,AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,On,NEM,Wind,3589748.0,997152.0,371.0,2655.0,3026,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,On,NEM,Hydro,317552.0,88209.0,0.0,6185.0,6185,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,On,NEM,Coal Seam Methane,82912.0,23031.0,12327.0,1142.0,13469,0.54,False,N/A
2014-15,AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,On,NEM,Solar,33769.0,9380.0,9.0,59.0,68,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,On,NEM,Wind,526539.0,146261.0,68.0,637.0,705,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,On,SWIS,Landfill Gas,77364.0,21490.0,1320.0,6.0,1326,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,On,NEM,Hydro,167206.0,46446.0,0.0,47.0,47,0.0,False,N/A
2014-15,AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,On,NEM,Landfill Gas,19739.0,5483.0,356.0,8.0,364,0.06,False,N/A
2014-15,AGL ENERGY LIMITED,Somerton Power Station,F,VIC,On,NEM,Gas,37669.0,10464.0,8378.0,2036.0,10414,0.8,False,N/A
2014-15,AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,QLD,On,NEM,Macadamia Nut Shells,3091.0,859.0,38.0,69.0,107,0.04,False,N/A
2014-15,AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,On,NEM,Gas/Diesel,6057169.0,1682547.0,983263.0,15130.0,998393,0.58,False,N/A
