code,label,year,geography_level,state,estimated_resident_population_no,population_density_persons_km2,estimated_resident_population_males_no,estimated_resident_population_females_no,median_age_males_years,median_age_females_years,median_age_persons_years,working_age_population_aged_15_64_years_no,working_age_population_aged_15_64_years
AUS,Australia,2011,AUS,,,,,,,,,,
AUS,Australia,2016,AUS,,,,,,,,,,
AUS,Australia,2018,AUS,,,,,,,,,,
AUS,Australia,2019,AUS,,25334826.0,3.3,12577221.0,12757605.0,36.7,38.4,37.5,16570435.0,65.4
AUS,Australia,2020,AUS,,25649248.0,3.3,12728639.0,12920609.0,37.0,38.7,37.9,16704135.0,65.1
AUS,Australia,2021,AUS,,25685412.0,3.3,12749410.0,12936002.0,37.5,39.2,38.4,16622311.0,64.7
AUS,Australia,2022,AUS,,26014399.0,3.4,12910149.0,13104250.0,37.6,39.4,38.5,16817097.0,64.6
AUS,Australia,2023,AUS,,26652777.0,3.5,13229784.0,13419094.0,37.4,39.2,38.3,17305407.0,64.9
AUS,Australia,2024,AUS,,27194369.0,3.5,,,,,,,
1,New South Wales,2011,STATE,NSW,,,,,,,,,
1,New South Wales,2016,STATE,NSW,,,,,,,,,
1,New South Wales,2018,STATE,NSW,,,,,,,,,
1,New South Wales,2019,STATE,NSW,8046748.0,10.0,3999452.0,4047296.0,36.8,38.6,37.7,5240576.0,65.1
1,New South Wales,2020,STATE,NSW,8110610.0,10.1,4030710.0,4079900.0,37.2,39.0,38.1,5255515.0,64.8
1,New South Wales,2021,STATE,NSW,8097062.0,10.1,4025393.0,4071669.0,37.7,39.5,38.6,5209700.0,64.3
1,New South Wales,2022,STATE,NSW,8166704.0,10.2,4059763.0,4106941.0,37.7,39.6,38.7,5247219.0,64.3
1,New South Wales,2023,STATE,NSW,8341199.0,10.4,4149141.0,4193144.0,37.5,39.4,38.4,5387800.0,64.6
1,New South Wales,2024,STATE,NSW,8479314.0,10.6,,,,,,,
2,Victoria,2011,STATE,VIC,,,,,,,,,
2,Victoria,2016,STATE,VIC,,,,,,,,,
2,Victoria,2018,STATE,VIC,,,,,,,,,
2,Victoria,2019,STATE,VIC,6537305.0,28.7,3236531.0,3300774.0,36.0,37.8,36.9,4332060.0,66.3
2,Victoria,2020,STATE,VIC,6615046.0,29.1,3273674.0,3341372.0,36.4,38.2,37.3,4365870.0,66.0
2,Victoria,2021,STATE,VIC,6547822.0,28.8,3237594.0,3310228.0,37.0,38.8,37.9,4282802.0,65.4
