facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
1,Gunning Wind Farm,NSW,Wind,exact,100.0,WD00NS07,Gunning Wind Farm,2581.0,46.5,Wind,2011-03-23,,,Unsuspended,0.0,historical_accredited,True,-34.7794,149.3021821,nominatim_postcode
2,Royalla Solar Farm,ACT,Solar,exact,100.0,SRPVAC06,Royalla Solar Farm,2901.0,20.0,Solar,2014-05-01,,,Unsuspended,0.0,historical_accredited,True,-35.2965236,149.1295736,nominatim_postcode
3,Waubra Wind Farm,VIC,Wind,exact,100.0,WD00VC09,Waubra Wind Farm,3352.0,192.0,Wind,2009-03-10,,,Unsuspended,0.0,historical_accredited,True,-37.3528575,143.6313265,nominatim_facility
4,Banimboola Hydro,VIC,Hydro,fuzzy,100.0,HY00VC07,Banimboola,3701.0,12.85,Hydro,2005-11-23,,,Unsuspended,0.0,historical_accredited,True,-36.4525628,147.2696544,nominatim_postcode
5,Bayswater Power Station,NSW,Black Coal,nger_only,,,,,,,,,,,,,,-32.3951272,150.949476,nominatim_facility
6,Bogong Power Station,VIC,Hydro,exact,100.0,HY00VC08,Bogong,3699.0,147.6,Hydro,2009-10-05,,,Unsuspended,0.0,historical_accredited,True,-36.8053642,147.227969,nominatim_facility
7,Burrendong Hydro,NSW,Hydro,fuzzy,100.0,HY00NS12,Burrendong,2820.0,19.0,Hydro,2001-08-22,,,Unsuspended,40880.0,historical_accredited,True,-32.5821112,148.9675617,nominatim_postcode
8,Clover Hydro,VIC,Hydro,fuzzy,100.0,HY00VC04,Clover,3000.0,24.0,Hydro,2001-04-01,,,Unsuspended,63334.0,historical_accredited,True,-37.815614,144.9673031,nominatim_postcode
9,Coopers Cogeneration,SA,Gas,nger_only,,,,,,,,,,,,,,,,
10,Copeton Hydro,NSW,Hydro,fuzzy,100.0,HY00NS11,Copeton,2360.0,20.0,Hydro,2001-08-22,,,Unsuspended,35471.0,historical_accredited,True,-29.7688067,151.119866,nominatim_postcode
