Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
WD00WA02,Albany,WA,21.6,6330,Wind,1/04/2001,Unsuspended,0,n/a
HY00QL02,Barron Gorge,QLD,66,4881,Hydro,1/04/2001,Unsuspended,202914,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA07,Bastyan,TAS,79.9,7321,Hydro,1/04/2001,Unsuspended,338533,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS02,Bayswater Power Station,NSW,2640,2333,Biomass,1/04/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
BEBGAC01,Belconnen LFG Power Plant,ACT,1,2616,Biomass,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGNS02,Belrose LFG Power Plant,NSW,1,2085,Biomass,1/04/2001,Suspended,21739,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC02,Berwick LFG Power Plant,VIC,5.18,3804,Biomass,1/04/2001,Suspended,20446,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00NS02,Blayney Wind Farm,NSW,9.9,2799,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS08,Blowering,NSW,80,2720,Hydro,1/04/2001,Unsuspended,267080,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC01,Broadmeadows LFG Power Plant,VIC,5.905,3047,Biomass,1/04/2001,Suspended,24601,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS02,Brown Mountain Power Station,NSW,4.95,2550,Hydro,1/04/2001,Unsuspended,10636,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGQL01,Browns Plains LFG Power Plant,QLD,2.18,4118,Biomass,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS03,Burrinjuck Power Station,NSW,34,2582,Hydro,1/04/2001,Unsuspended,28618,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA08,Butlers Gorge,TAS,14.4,7030,Hydro,1/04/2001,Unsuspended,59015,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL04,Caboolture Region Environment Education Centre,QLD,0.0049,4505,Solar,1/04/2001,Suspended,0,n/a
HYMIVC01,Cairn Curran,VIC,2,3463,Hydro,1/04/2001,Unsuspended,3342,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA09,Catagunya,TAS,48,7140,Hydro,1/04/2001,Unsuspended,218794,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA10,Cethana,TAS,85,7306,Hydro,1/04/2001,Unsuspended,389482,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC04,Clayton LFG Power Plant - VIC,VIC,12.15,3172,Biomass,1/04/2001,Unsuspended,79777,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGQL03,Cleveland Bay,QLD,0.125,4811,Biomass,1/04/2001,Suspended,0,n/a
HY00VC04,Clover,VIC,24,3000,Hydro,1/04/2001,Unsuspended,63334,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA11,Cluny,TAS,22,7140,Hydro,1/04/2001,Unsuspended,83851,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC03,Corio LFG Power Plant,VIC,1,3214,Biomass,1/04/2001,Suspended,4620,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00NS03,Crookwell Wind Farm,NSW,4.8,2583,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00WA01,Denham,WA,1.02,6537,Wind,1/04/2001,Unsuspended,0,n/a
HY00TA12,Devils Gate,TAS,63.5,7306,Hydro,1/04/2001,Unsuspended,284695,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIVC04,Eildon Pondage Hydro,VIC,4.5,3713,Hydro,1/04/2001,Unsuspended,13374,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL03,Farleigh Mill,QLD,11.5,4740,Biomass,1/04/2001,Unsuspended,20998,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA03,Fisher,TAS,43.2,7306,Hydro,1/04/2001,Unsuspended,211526,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL02,Go 100% Renewable Generation,QLD,0.0015,4075,Solar,1/04/2001,Suspended,0,n/a
HY00TA01,Gordon,TAS,432,7139,Hydro,1/04/2001,Unsuspended,1239971,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS04,Guthega,NSW,80,2624,Hydro,1/04/2001,Unsuspended,148386,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGSA03,Highbury LFG Power Plant,SA,1,5089,Biomass,1/04/2001,Suspended,0,n/a
SRPVNS02,Homebush Photovoltaic Power Station,NSW,0.0112,2140,Solar,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS01,Hume Power Station,NSW,58,2640,Hydro,1/04/2001,Unsuspended,222902,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00TA01,Huxley Hill - Wind and Solar - TAS,TAS,4.7601,7256,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA13,John Butters,TAS,144,7000,Hydro,1/04/2001,Unsuspended,522831,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00QL01,Kareeya,QLD,86.4,4854,Hydro,1/04/2001,Unsuspended,417233,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS04,Keepit Power Station,NSW,7.2,2340,Hydro,1/04/2001,Unsuspended,11189,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
